Name,Type,Group,Location,Subscription,x,y,z
devops-build2568,Network Interface,devops,West Central US,Cashapp Dev/Test,20,108,0
devops-build2_OsDisk_1_1e5547ef4841499abe8699b485fe37e3,Disk,devops,West Central US,Cashapp Dev/Test,0,112,0
devops-build3,Disk,devops,West US,Cashapp Dev/Test,2.5,112,0
devops-build3,Virtual machine,devops,West US,Cashapp Dev/Test,5,112,0
devops-build3-ip,Public IP address,devops,West US 2,Cashapp Dev/Test,7.5,112,0
devops-build3-nsg,Network security group,devops,West US 2,Cashapp Dev/Test,10,112,0
devops-build3216,Network Interface,devops,West US 2,Cashapp Dev/Test,12.5,112,0
devops-build3456,Network Interface,devops,West US,Cashapp Dev/Test,15,112,0
devops-build3877,Network Interface,devops,West US 2,Cashapp Dev/Test,17.5,112,0
devops-build3_OsDisk_1_d55ff36723ad41b0a219508023838f05,Disk,devops,West US,Cashapp Dev/Test,20,112,0
devops-build4,Disk,devops,West Central US,Cashapp Dev/Test,0,116,0
devops-build4,Virtual machine,devops,West Central US,Cashapp Dev/Test,2.5,116,0
devops-build4-ip,Public IP address,devops,West Central US,Cashapp Dev/Test,5,116,0
devops-build4-nsg,Network security group,devops,West Central US,Cashapp Dev/Test,7.5,116,0
devops-build4202,Network Interface,devops,West Central US,Cashapp Dev/Test,10,116,0
devops-build954,Network Interface,devops,West Central US,Cashapp Dev/Test,12.5,116,0
devops-build_OsDisk_1_aa7b0ffd2dec42c09a8a3b6c48f7e6be,Disk,devops,West Central US,Cashapp Dev/Test,15,116,0
devops-deploy,Virtual machine,devops,West Central US,Cashapp Dev/Test,17.5,116,0
devops-deploy-ip,Public IP address,devops,West Central US,Cashapp Dev/Test,20,116,0
devops-deploy-nsg,Network security group,devops,West Central US,Cashapp Dev/Test,0,120,0
devops-deploy252,Network Interface,devops,West Central US,Cashapp Dev/Test,2.5,120,0
devops-deploy_OsDisk_1_cffb45f26702478893692ca1cb2541d1,Disk,devops,West Central US,Cashapp Dev/Test,5,120,0
devops-gavin,Virtual machine,devops-gavin,West US,Cashapp Dev/Test,7.5,120,0
devops-gavin-nsg,Network security group,devops-gavin,West US,Cashapp Dev/Test,10,120,0
devops-gavin-vnet,Virtual network,devops-gavin,West US,Cashapp Dev/Test,12.5,120,0
devops-gavin2,Public IP address,devops-gavin,West US,Cashapp Dev/Test,15,120,0
devops-gavin563,Network Interface,devops-gavin,West US,Cashapp Dev/Test,17.5,120,0
devops-gavin_OsDisk_1_dbbdf403aec04e06905d29df7c85216c,Disk,devops-gavin,West US,Cashapp Dev/Test,20,120,0
devops-ml,Azure Machine Learning,ml-testing,West US 2,DevOps Dev/Test,0,124,0
devops-nabil-kv,Key vault,devops-nabil,West Europe,Cashapp Dev/Test,2.5,124,0
devops-vnet,Virtual network,devops,West Central US,Cashapp Dev/Test,5,124,0
devops-win2019,Virtual machine,devops-images,West US 2,Cashapp Dev/Test,7.5,124,0
devops_build2-snapshot,Snapshot,devops,West Central US,Cashapp Dev/Test,10,124,0
devops_build2_managed,Disk,devops,West Central US,Cashapp Dev/Test,12.5,124,0
devopsbuild3ip511,Public IP address,devops,West US,Cashapp Dev/Test,15,124,0
devopsbuild3ip779,Public IP address,devops,West US 2,Cashapp Dev/Test,17.5,124,0
devopsbuild3nsg136,Network security group,devops,West US 2,Cashapp Dev/Test,20,124,0
devopsbuild3nsg418,Network security group,devops,West US,Cashapp Dev/Test,0,128,0
devopsdiag140,Storage account,devops,West Central US,Cashapp Dev/Test,2.5,128,0
devopsdiag636,Storage account,devops,West US 2,Cashapp Dev/Test,5,128,0
devopsdiag760,Storage account,devops,West US,Cashapp Dev/Test,7.5,128,0
devopsgavindiag,Storage account,devops-gavin,West US,Cashapp Dev/Test,10,128,0
devopsimages001,Storage account,devops-images,West US 2,Cashapp Dev/Test,12.5,128,0
devopsimagestest001,Storage account,devops-images-test,West US 2,Cashapp Dev/Test,15,128,0
devopsml,Container registry,ml-testing,West US 2,DevOps Dev/Test,17.5,128,0
devopsml1546664824,Application Insights,ml-testing,West US 2,DevOps Dev/Test,20,128,0
devopsml6048035691,Storage account,ml-testing,West US 2,DevOps Dev/Test,0,132,0
devopsml7525909514,Key vault,ml-testing,West US 2,DevOps Dev/Test,2.5,132,0
devopsperfdiag137,Storage account,devops,West Central US,Cashapp Dev/Test,5,132,0
devopsvnet366,Virtual network,devops,West US,Cashapp Dev/Test,7.5,132,0
devopsvnet875,Virtual network,devops,West US 2,Cashapp Dev/Test,10,132,0
dh-api-devtest,App Service,fa-dev-api,West Central US,Dataapp Dev/Test,12.5,132,0
dh-api-inbound-csdev,App Service,usdt-Dataapp-csdev-apps-centralus-rg-001,Central US,Dataapp Dev/Test,15,132,0
dh-api-inbound-test,App Service,usdt-Dataapp-test-apps-centralus-rg-001,Central US,Dataapp Dev/Test,17.5,132,0
dh-api-ingestion-core-csdev,App Service,usdt-Dataapp-csdev-apps-centralus-rg-001,Central US,Dataapp Dev/Test,20,132,0
dh-api-ingestion-core-test,App Service,usdt-Dataapp-test-apps-centralus-rg-001,Central US,Dataapp Dev/Test,0,136,0
dh-api-metadata-csdev,App Service,usdt-Dataapp-csdev-apps-centralus-rg-001,Central US,Dataapp Dev/Test,2.5,136,0
dh-api-metadata-test,App Service,usdt-Dataapp-test-apps-centralus-rg-001,Central US,Dataapp Dev/Test,5,136,0
dh-api-msgbus-csdev,App Service,usdt-Dataapp-csdev-apps-centralus-rg-001,Central US,Dataapp Dev/Test,7.5,136,0
dh-api-msgbus-test,App Service,usdt-Dataapp-test-apps-centralus-rg-001,Central US,Dataapp Dev/Test,10,136,0
dh-api-outbound-csdev,App Service,usdt-Dataapp-csdev-apps-centralus-rg-001,Central US,Dataapp Dev/Test,12.5,136,0
dh-api-outbound-test,App Service,usdt-Dataapp-test-apps-centralus-rg-001,Central US,Dataapp Dev/Test,15,136,0
dh-api-report-data-csdev,App Service,usdt-Dataapp-csdev-apps-centralus-rg-001,Central US,Dataapp Dev/Test,17.5,136,0
dh-api-report-data-test,App Service,usdt-Dataapp-test-apps-centralus-rg-001,Central US,Dataapp Dev/Test,20,136,0
dh-api-reports-csdev,App Service,usdt-Dataapp-csdev-apps-centralus-rg-001,Central US,Dataapp Dev/Test,0,140,0
dh-api-reports-test,App Service,usdt-Dataapp-test-apps-centralus-rg-001,Central US,Dataapp Dev/Test,2.5,140,0
dh-api-security-csdev,App Service,usdt-Dataapp-csdev-apps-centralus-rg-001,Central US,Dataapp Dev/Test,5,140,0
dh-api-security-test,App Service,usdt-Dataapp-test-apps-centralus-rg-001,Central US,Dataapp Dev/Test,7.5,140,0
dh-api-workflow-csdev,App Service,usdt-Dataapp-csdev-apps-centralus-rg-001,Central US,Dataapp Dev/Test,10,140,0
dh-api-workflow-test,App Service,usdt-Dataapp-test-apps-centralus-rg-001,Central US,Dataapp Dev/Test,12.5,140,0
dh-cosmosdb-dev,Azure Cosmos DB account,fa-dev-data,Central US,Dataapp Dev/Test,15,140,0
dh-datafactory-dev,Data factory (V2),fa-dev-data,Central US,Dataapp Dev/Test,17.5,140,0
dh-dev-admin-console,App Service,fa-dev-api,Central US,Dataapp Dev/Test,20,140,0
dh-dev-sso-portal,App Service,fa-dev-api,Central US,Dataapp Dev/Test,0,144,0
dh-devops-identity,Managed Identity,usdt-aks-devops-centralus-rg-01,Central US,DevOps Dev/Test,2.5,144,0
dh-sftp-csdev-nic,Network Interface,usdt-Dataapp-csdev-sftp-centralus-rg-001,Central US,Dataapp Dev/Test,5,144,0
dh-sftp-csdev-vm,Virtual machine,usdt-Dataapp-csdev-sftp-centralus-rg-001,Central US,Dataapp Dev/Test,7.5,144,0
dh-sftp-csdev-vm_disk1_64c1346a6199466c9fe2de669dfb3dc6,Disk,usdt-Dataapp-csdev-sftp-centralus-rg-001,Central US,Dataapp Dev/Test,10,144,0
dh-sftp-qa-nic,Network Interface,fa-qa-sftp-rg-001,Central US,Dataapp Dev/Test,12.5,144,0
dh-sftp-qa-vm,Virtual machine,fa-qa-sftp-rg-001,Central US,Dataapp Dev/Test,15,144,0
dh-sftp-qa-vm_OsDisk_1_7324da026c794272b9507c427d4a9684,Disk,fa-qa-sftp-rg-001,Central US,Dataapp Dev/Test,17.5,144,0
dh-sftp-test-nic,Network Interface,usdt-Dataapp-test-sftp-centralus-rg-001,Central US,Dataapp Dev/Test,20,144,0
dh-sftp-test-vm,Virtual machine,usdt-Dataapp-test-sftp-centralus-rg-001,Central US,Dataapp Dev/Test,0,148,0
dh-sftp-test-vm_OsDisk_1_087675a4705f49da9b5a1bdc964492ab,Disk,usdt-Dataapp-test-sftp-centralus-rg-001,Central US,Dataapp Dev/Test,2.5,148,0
dh-shared-log-analytics,Log Analytics workspace,defaultresourcegroup-cus,Central US,Dataapp Dev/Test,5,148,0
dh-splunk-events-dev,Event Hubs Namespace,splunk_logging,West Central US,Dataapp Dev/Test,7.5,148,0
dh-test-platform-config,App Configuration,usdt-Dataapp-test-security-centralus-rg-001,Central US,Dataapp Dev/Test,10,148,0
dhcommon (fadhsqlserverdev/dhcommon),SQL database,fa-dev-data,Central US,Dataapp Dev/Test,12.5,148,0
dhcommon (fadhsqlserverqa/dhcommon),SQL database,fa-qa-data,Central US,Dataapp Dev/Test,15,148,0
dhcommon (fadhsqlserveruat/dhcommon),SQL database,fa-uat-data,Central US,Dataapp Dev/Test,17.5,148,0
dhcommon (usdtdhcsdevsql01/dhcommon),SQL database,usdt-Dataapp-csdev-data-centralus-rg-001,Central US,Dataapp Dev/Test,20,148,0
dhcommon (dhsqlsrvtest/dhcommon),SQL database,usdt-Dataapp-test-data-centralus-rg-001,Central US,Dataapp Dev/Test,0,152,0
dhcsdevcentralus-logic,Logic app,usdt-Dataapp-csdev-logic-centralus-rg-001,Central US,Dataapp Dev/Test,2.5,152,0
dhcsdevsftpdiag,Storage account,usdt-Dataapp-csdev-sftp-centralus-rg-001,Central US,Dataapp Dev/Test,5,152,0
dhdevops,Storage account,Dataapp-devops,Central US,Dataapp Dev/Test,7.5,152,0
dhdevsqlpool0001 (fadhsqlserverdev/dhdevsqlpool0001),SQL elastic pool,fa-dev-data,Central US,Dataapp Dev/Test,10,152,0
dhlakedev,Data Lake Analytics,fa-dev-data,Central US,Dataapp Dev/Test,12.5,152,0
dhlakedevadls,Data Lake Storage Gen1,fa-dev-data,Central US,Dataapp Dev/Test,15,152,0
dhmaster (fadhsqlserverdev/dhmaster),SQL database,fa-dev-data,Central US,Dataapp Dev/Test,17.5,152,0
dhmaster (fadhsqlserverqa/dhmaster),SQL database,fa-qa-data,Central US,Dataapp Dev/Test,20,152,0
dhmaster (fadhsqlserveruat/dhmaster),SQL database,fa-uat-data,Central US,Dataapp Dev/Test,0,156,0
dhmaster (usdtdhcsdevsql01/dhmaster),SQL database,usdt-Dataapp-csdev-data-centralus-rg-001,Central US,Dataapp Dev/Test,2.5,156,0
dhmaster (dhsqlsrvtest/dhmaster),SQL database,usdt-Dataapp-test-data-centralus-rg-001,Central US,Dataapp Dev/Test,5,156,0
dhmaster_2020-11-19T21-00Z (fadhsqlserverdev/dhmaster_2020-11-19T21-00Z),SQL database,fa-dev-data,Central US,Dataapp Dev/Test,7.5,156,0
dhptsbustest,Service Bus Namespace,usdt-Dataapp-test-data-centralus-rg-001,Central US,Dataapp Dev/Test,10,156,0
dhqasftpdiag,Storage account,fa-qa-sftp-rg-001,Central US,Dataapp Dev/Test,12.5,156,0
dhsqlsrvtest,SQL server,usdt-Dataapp-test-data-centralus-rg-001,Central US,Dataapp Dev/Test,15,156,0
dhsqlsrvtest-law,Log Analytics workspace,usdt-Dataapp-test-data-centralus-rg-001,Central US,Dataapp Dev/Test,17.5,156,0
dhtestsftpdiag,Storage account,usdt-Dataapp-test-sftp-centralus-rg-001,Central US,Dataapp Dev/Test,20,156,0
dhtestsqlpool0001 (dhsqlsrvtest/dhtestsqlpool0001),SQL elastic pool,usdt-Dataapp-test-data-centralus-rg-001,Central US,Dataapp Dev/Test,0,160,0
dhuatsqlpool0001 (fadhsqlserveruat/dhuatsqlpool0001),SQL elastic pool,fa-uat-data,Central US,Dataapp Dev/Test,2.5,160,0
dhworkflow (fadhsqlserverdev/dhworkflow),SQL database,fa-dev-data,Central US,Dataapp Dev/Test,5,160,0
documentdb,API Connection,Company1-cnx-dynamics,West US,Dataapp Dev/Test,7.5,160,0
dyn48917145f9d05bbe,Storage account,dynamicsdeployments-westus,West US,Dynamics Dev/Test,10,160,0
dynamicsax,API Connection,fa-dev-infrastructure,West US,Dataapp Dev/Test,12.5,160,0
dynamicsax,API Connection,ky-hilton-wf,Central US,Dataapp Dev/Test,15,160,0
dynamicsax,API Connection,Company1-cnx-dynamics,West US,Dataapp Dev/Test,17.5,160,0
dynamicsax,API Connection,Company1-cnx-erptk,West US,Dataapp Dev/Test,20,160,0
dynamicsax-1,API Connection,fa-dev-infrastructure,West US,Dataapp Dev/Test,0,164,0
dynamicsax-1,API Connection,Company1-cnx-dynamics,West US,Dataapp Dev/Test,2.5,164,0
dynamicsax-10,API Connection,Company1-cnx-erptk,West US,Dataapp Dev/Test,5,164,0
dynamicsax-11,API Connection,Company1-cnx-erptk,West US,Dataapp Dev/Test,7.5,164,0
dynamicsax-2,API Connection,fa-dev-infrastructure,West US,Dataapp Dev/Test,10,164,0
dynamicsax-2,API Connection,Company1-cnx-dynamics,West US,Dataapp Dev/Test,12.5,164,0
dynamicsax-2,API Connection,Company1-cnx-erptk,West US,Dataapp Dev/Test,15,164,0
dynamicsax-3,API Connection,fa-dev-infrastructure,West US,Dataapp Dev/Test,17.5,164,0
dynamicsax-3,API Connection,Company1-cnx-dynamics,West US,Dataapp Dev/Test,20,164,0
dynamicsax-3,API Connection,Company1-cnx-erptk,West US,Dataapp Dev/Test,0,168,0
dynamicsax-4,API Connection,Company1-cnx-dynamics,West US,Dataapp Dev/Test,2.5,168,0
dynamicsax-4,API Connection,Company1-cnx-erptk,West US,Dataapp Dev/Test,5,168,0
dynamicsax-5,API Connection,Company1-cnx-erptk,West US,Dataapp Dev/Test,7.5,168,0
dynamicsax-6,API Connection,Company1-cnx-erptk,West US,Dataapp Dev/Test,10,168,0
dynamicsax-7,API Connection,Company1-cnx-erptk,West US,Dataapp Dev/Test,12.5,168,0
dynamicsax-8,API Connection,Company1-cnx-erptk,West US,Dataapp Dev/Test,15,168,0
dynamicsax-9,API Connection,Company1-cnx-erptk,West US,Dataapp Dev/Test,17.5,168,0
dynamicscrmonline,API Connection,ky-hilton-wf,Central US,Dataapp Dev/Test,20,168,0
embeddedpbiservice,Power BI Embedded,fa-pbi-service-rg,West US,Cashapp Dev/Test,0,172,0
entity-app-sf-logging-dev,Availability test,fa-Cashapp-dev-tests,West US 2,Cashapp Dev/Test,2.5,172,0
entity-app-uat-sf-logging-uat,Availability test,fa-Cashapp-uat-tests,West US 2,Cashapp Dev/Test,5,172,0
entity-fa-Cashapp-hf,Availability test,fa-Cashapp-hf-tests,West US 2,Cashapp Dev/Test,7.5,172,0
entity-fa-Cashapp-qa,Availability test,fa-Cashapp-qa-tests,West US 2,Cashapp Dev/Test,10,172,0
entity-info-fa-Cashapp-qa,Availability test,fa-Cashapp-qa-tests,West US 2,Cashapp Dev/Test,12.5,172,0
entity-info-sf-logging-dev,Availability test,fa-Cashapp-dev-tests,West US 2,Cashapp Dev/Test,15,172,0
entity-info-uat-sf-logging-uat,Availability test,fa-Cashapp-uat-tests,West US 2,Cashapp Dev/Test,17.5,172,0
ERP-Ingestion,Logic app,ky-etl-randd,Central US,Dataapp Dev/Test,20,172,0
events-wingtip-mt-bbfa1,Traffic Manager profile,wingtip-sql-mt-bbfa1,Global,Dataapp Dev/Test,0,176,0
events-wingtip-mt-bbfa1,App Service plan,wingtip-sql-mt-bbfa1,Central US,Dataapp Dev/Test,2.5,176,0
events-wingtip-mt-bbfa1,App Service,wingtip-sql-mt-bbfa1,Central US,Dataapp Dev/Test,5,176,0
f953c1e7-1177-4309-ad43-d7a185b3c811,Public IP address,mc_usdt-aks-devops-centralus-rg-01_usdt-aks-devops-clstr-01_centralus,Central US,DevOps Dev/Test,7.5,176,0
fa-admin-console-qa,App Service,fa-qa-api,Central US,Dataapp Dev/Test,10,176,0
fa-api-inbound-dev,App Service,fa-dev-api,Central US,Dataapp Dev/Test,12.5,176,0
fa-api-inbound-qa,App Service,fa-qa-api,Central US,Dataapp Dev/Test,15,176,0
fa-api-inbound-uat,App Service,fa-uat-api,Central US,Dataapp Dev/Test,17.5,176,0
fa-api-ingestion-core-dev,App Service,fa-dev-api,Central US,Dataapp Dev/Test,20,176,0
fa-api-ingestion-core-qa,App Service,fa-qa-api,Central US,Dataapp Dev/Test,0,180,0
fa-api-ingestion-core-uat,App Service,fa-uat-api,Central US,Dataapp Dev/Test,2.5,180,0
fa-api-metadata-dev,App Service,fa-dev-api,Central US,Dataapp Dev/Test,5,180,0
fa-api-metadata-qa,App Service,fa-qa-api,Central US,Dataapp Dev/Test,7.5,180,0
fa-api-metadata-uat,App Service,fa-uat-api,Central US,Dataapp Dev/Test,10,180,0
fa-api-msgbus-dev,App Service,fa-dev-api,Central US,Dataapp Dev/Test,12.5,180,0
fa-api-msgbus-qa,App Service,fa-qa-api,Central US,Dataapp Dev/Test,15,180,0
fa-api-msgbus-uat,App Service,fa-uat-api,Central US,Dataapp Dev/Test,17.5,180,0
fa-api-outbound-dev,App Service,fa-dev-api,Central US,Dataapp Dev/Test,20,180,0
fa-api-outbound-qa,App Service,fa-qa-api,Central US,Dataapp Dev/Test,0,184,0
fa-api-outbound-uat,App Service,fa-uat-api,Central US,Dataapp Dev/Test,2.5,184,0
fa-api-report-data-dev,App Service,fa-dev-api,Central US,Dataapp Dev/Test,5,184,0
fa-api-report-data-qa,App Service,fa-qa-api,Central US,Dataapp Dev/Test,7.5,184,0
fa-api-report-data-uat,App Service,fa-uat-api,Central US,Dataapp Dev/Test,10,184,0
fa-api-reports-dev,App Service,fa-dev-api,Central US,Dataapp Dev/Test,12.5,184,0
fa-api-reports-qa,App Service,fa-qa-api,Central US,Dataapp Dev/Test,15,184,0
fa-api-reports-uat,App Service,fa-uat-api,Central US,Dataapp Dev/Test,17.5,184,0
fa-api-security-dev,App Service,fa-dev-api,Central US,Dataapp Dev/Test,20,184,0
fa-api-security-qa,App Service,fa-qa-api,Central US,Dataapp Dev/Test,0,188,0
fa-api-security-uat,App Service,fa-uat-api,Central US,Dataapp Dev/Test,2.5,188,0
fa-api-workflow-dev,App Service,fa-dev-api,Central US,Dataapp Dev/Test,5,188,0
fa-api-workflow-qa,App Service,fa-qa-api,Central US,Dataapp Dev/Test,7.5,188,0
fa-api-workflow-uat,App Service,fa-uat-api,Central US,Dataapp Dev/Test,10,188,0
fa-appserviceplan-dev,App Service plan,fa-dev-api,Central US,Dataapp Dev/Test,12.5,188,0
fa-appserviceplan-qa,App Service plan,fa-qa-api,Central US,Dataapp Dev/Test,15,188,0
fa-appserviceplan-uat,App Service plan,fa-uat-api,Central US,Dataapp Dev/Test,17.5,188,0
fa-Cashapp-dev-nsg,Network security group,fa-tenable-scanner,West US 2,Cashapp Dev/Test,20,188,0
fa-Cashapp-hf,Application Insights,fa-Cashapp-hf-tests,West US 2,Cashapp Dev/Test,0,192,0
fa-Cashapp-qa,Application Insights,fa-Cashapp-qa-tests,West US 2,Cashapp Dev/Test,2.5,192,0
fa-Cashapp-vault,Key vault,fa-Cashapp-vault,West US 2,Cashapp Dev/Test,5,192,0
fa-contracts-dev,App Service,fa-contracts-dev,West US 2,Cashapp Dev/Test,7.5,192,0
fa-dev-apis,Application Insights,fa-dev-api,South Central US,Dataapp Dev/Test,10,192,0
fa-dev-law,Log Analytics workspace,fa-dev-api,South Central US,Dataapp Dev/Test,12.5,192,0
fa-dev-logging,Event Hubs Namespace,fa-Cashapp-dev-tests,West US 2,Cashapp Dev/Test,15,192,0
fa-dev-platform-vault,Key vault,fa-dev-security,West US 2,Dataapp Dev/Test,17.5,192,0
fa-dev-sftp,Virtual machine,fa-dev-sftp,Central US,Dataapp Dev/Test,20,192,0
fa-dev-sftp-admin,Virtual machine,fa-dev-sftp-admin,Central US,Dataapp Dev/Test,0,196,0
fa-dev-sftp-admin-ip,Public IP address,fa-dev-sftp-admin,Central US,Dataapp Dev/Test,2.5,196,0
fa-dev-sftp-admin-nsg,Network security group,fa-dev-sftp-admin,Central US,Dataapp Dev/Test,5,196,0
fa-dev-sftp-admin-vnet,Virtual network,fa-dev-sftp-admin,Central US,Dataapp Dev/Test,7.5,196,0
fa-dev-sftp-admin617,Network Interface,fa-dev-sftp-admin,Central US,Dataapp Dev/Test,10,196,0
fa-dev-sftp-admin_disk1_0f83d68cff504acfb397c93dc99da9eb,Disk,fa-dev-sftp-admin,Central US,Dataapp Dev/Test,12.5,196,0
fa-dev-sftp-ip,Public IP address,fa-dev-sftp,Central US,Dataapp Dev/Test,15,196,0
fa-dev-sftp-nsg,Network security group,fa-dev-sftp,Central US,Dataapp Dev/Test,17.5,196,0
fa-dev-sftp-v2,Virtual machine,fa-dev-sftp-v2,Central US,Dataapp Dev/Test,20,196,0
fa-dev-sftp-v2-ip,Public IP address,fa-dev-sftp-v2,Central US,Dataapp Dev/Test,0,200,0
fa-dev-sftp-v2-nsg,Network security group,fa-dev-sftp-v2,Central US,Dataapp Dev/Test,2.5,200,0
fa-dev-sftp-v2-vnet,Virtual network,fa-dev-sftp-v2,Central US,Dataapp Dev/Test,5,200,0
fa-dev-sftp-v2401,Network Interface,fa-dev-sftp-v2,Central US,Dataapp Dev/Test,7.5,200,0
fa-dev-sftp-v2_disk1_d3bbf33fa05440cba1627a5ea0bcb115,Disk,fa-dev-sftp-v2,Central US,Dataapp Dev/Test,10,200,0
fa-dev-sftp-vnet,Virtual network,fa-dev-sftp,Central US,Dataapp Dev/Test,12.5,200,0
fa-dev-sftp830,Network Interface,fa-dev-sftp,Central US,Dataapp Dev/Test,15,200,0
fa-dev-sftp_disk1_43ff81f21704416e8105ed74512311f2,Disk,fa-dev-sftp,Central US,Dataapp Dev/Test,17.5,200,0
fa-devops-bot,Web App Bot,fa-devops-bot,Global,Cashapp Dev/Test,20,200,0
fa-devops-bot,App Service plan,fa-devops-bot,West US,Cashapp Dev/Test,0,204,0
fa-devops-bot,App Service,fa-devops-bot,West US,Cashapp Dev/Test,2.5,204,0
fa-devops-bot-LUIS,Language understanding,fa-devops-bot,West US,Cashapp Dev/Test,5,204,0
fa-devops-bot-search,Search service,fa-devops-bot,West US,Cashapp Dev/Test,7.5,204,0
fa-docker-linux,Virtual machine,devops,West US,Cashapp Dev/Test,10,204,0
fa-docker-linux-ip,Public IP address,devops,West US,Cashapp Dev/Test,12.5,204,0
fa-docker-linux-nsg,Network security group,devops,West US,Cashapp Dev/Test,15,204,0
fa-docker-linux362,Network Interface,devops,West US,Cashapp Dev/Test,17.5,204,0
fa-docker-linux_OsDisk_1_e8e7d755020e4747b3b197f45b12a294,Disk,devops,West US,Cashapp Dev/Test,20,204,0
fa-frontend-dev,App Service,ca-dev,West US 2,Cashapp Dev/Test,0,208,0
fa-notification-orchestrator,Logic app,fa-dev-infrastructure,Central US,Dataapp Dev/Test,2.5,208,0
fa-orchestrator-qa,Logic app,fa-qa-infrastructure,Central US,Dataapp Dev/Test,5,208,0
fa-orchestrator-uat,Logic app,fa-uat-infrastructure,Central US,Dataapp Dev/Test,7.5,208,0
fa-platform-oms-ws,Log Analytics workspace,fa-dev-infrastructure,East US,Dataapp Dev/Test,10,208,0
fa-platform-orchestrator,Logic app,fa-dev-infrastructure,Central US,Dataapp Dev/Test,12.5,208,0
fa-portal-dev,App Service,ca-dev,West US 2,Cashapp Dev/Test,15,208,0
fa-qa-apis,Application Insights,fa-qa-test,West US 2,Dataapp Dev/Test,17.5,208,0
fa-qa-law,Log Analytics workspace,fa-qa-test,Central US,Dataapp Dev/Test,20,208,0
fa-qa-platform-vault,Key vault,fa-qa-security,Central US,Dataapp Dev/Test,0,212,0
fa-qa-sftp,Virtual machine,fa-qa-sftp,Central US,Dataapp Dev/Test,2.5,212,0
fa-qa-sftp-ip,Public IP address,fa-qa-sftp,Central US,Dataapp Dev/Test,5,212,0
fa-qa-sftp-nsg,Network security group,fa-qa-sftp,Central US,Dataapp Dev/Test,7.5,212,0
fa-qa-sftp-vnet,Virtual network,fa-qa-sftp,Central US,Dataapp Dev/Test,10,212,0
fa-qa-sftp321,Network Interface,fa-qa-sftp,Central US,Dataapp Dev/Test,12.5,212,0
fa-qa-sftp_disk1_10d131ed291540efae5c82ef6caeca58,Disk,fa-qa-sftp,Central US,Dataapp Dev/Test,15,212,0
fa-sso-portal-qa,App Service,fa-qa-api,Central US,Dataapp Dev/Test,17.5,212,0
fa-tenable-scanner,Virtual machine,fa-tenable-scanner,West US 2,Cashapp Dev/Test,20,212,0
fa-tenable-scanner-ip,Public IP address,fa-tenable-scanner,West US 2,Cashapp Dev/Test,0,216,0
fa-tenable-scanner-nsg,Network security group,fa-tenable-scanner,West US 2,Cashapp Dev/Test,2.5,216,0
fa-tenable-scanner677,Network Interface,fa-tenable-scanner,West US 2,Cashapp Dev/Test,5,216,0
fa-tenable-scanner_DataDisk_0,Disk,fa-tenable-scanner,West US 2,Cashapp Dev/Test,7.5,216,0
fa-tenable-scanner_OsDisk_1_cd3bfc7e966841e289a500f48ab76f49,Disk,fa-tenable-scanner,West US 2,Cashapp Dev/Test,10,216,0
fa-uat-apis,Application Insights,fa-uat-test,West US 2,Dataapp Dev/Test,12.5,216,0
fa-uat-law,Log Analytics workspace,fa-uat-test,West US 2,Dataapp Dev/Test,15,216,0
fa-uat-platform-vault,Key vault,fa-uat-security,Central US,Dataapp Dev/Test,17.5,216,0
fa-uat-sftp,Virtual machine,fa-uat-sftp,Central US,Dataapp Dev/Test,20,216,0
fa-uat-sftp-ip,Public IP address,fa-uat-sftp,Central US,Dataapp Dev/Test,0,220,0
fa-uat-sftp-nsg,Network security group,fa-uat-sftp,Central US,Dataapp Dev/Test,2.5,220,0
fa-uat-sftp-vnet,Virtual network,fa-uat-sftp,Central US,Dataapp Dev/Test,5,220,0
fa-uat-sftp247,Network Interface,fa-uat-sftp,Central US,Dataapp Dev/Test,7.5,220,0
fa-uat-sftp_disk1_f3477d01713343ebb886b7f97b63e7a5,Disk,fa-uat-sftp,Central US,Dataapp Dev/Test,10,220,0
fa99teststorage,Storage account,terraform-test,West US 3,DevOps Dev/Test,12.5,220,0
faapplogging,Storage account,Cashapp-ase,West Central US,Cashapp Dev/Test,15,220,0
fadeploy,Web App Bot,deploy-bot,Global,Cashapp Dev/Test,17.5,220,0
fadeploy,App Service plan,deploy-bot,West US 2,Cashapp Dev/Test,20,220,0
fadeploy,App Service,deploy-bot,West US 2,Cashapp Dev/Test,0,224,0
fadeployb83c,Storage account,deploy-bot,West US 2,Cashapp Dev/Test,2.5,224,0
fadevcentralus-logic,Logic app,fa-dev-logic,Central US,Dataapp Dev/Test,5,224,0
fadevcentralus-sample-sb-conn,Logic app,fa-dev-sample-sb-conn,Central US,Cashapp Dev/Test,7.5,224,0
fadevkeyvaultlogs,Storage account,fa-dev-logging,West US 2,Dataapp Dev/Test,10,224,0
fadevops,Storage account,Cashapp-ase,West Central US,Cashapp Dev/Test,12.5,224,0
fadevopsbot,Storage account,fa-devops-bot,West US,Cashapp Dev/Test,15,224,0
fadevsftpadmindiag,Storage account,fa-dev-sftp-admin,Central US,Dataapp Dev/Test,17.5,224,0
fadevsftpdiag,Storage account,fa-dev-sftp,Central US,Dataapp Dev/Test,20,224,0
fadevsftpv2diag,Storage account,fa-dev-sftp-v2,Central US,Dataapp Dev/Test,0,228,0
